instance_id,instance,seed,group,pb_requests,rt_requests,phase1_pb_accepted,phase1_objective,phase1_dtd,phase1_ivt,phase1_time_s,phase2_pb_accepted,phase2_objective,phase2_dtd,phase2_ivt,phase2_time_s,pb_accepted,rt_accepted,total_accepted,objective,total_dtd,total_ivt,phase3_solver_time_s,phase3_wall_time_s,phase3_epochs,phase3_max_epoch_s,phase3_avg_epoch_s,vehicle_trips_used,cw_violations
rand-04_s1,rand-04,1,random,30,30,21,9571.0,48.0,523.0,56.586,21,9571.0,48.0,523.0,5.477,21,14,35,26016.0,78.0,938.0,1.052,1.631,28,0.153,0.038,4,0
rand-04_s2,rand-04,2,random,30,30,23,7629.0,61.0,568.0,56.91,23,7629.0,61.0,568.0,5.545,23,16,39,21993.0,100.0,893.0,1.046,1.794,29,0.085,0.036,4,0
rand-04_s3,rand-04,3,random,30,30,24,6596.0,41.0,555.0,51.222,24,6596.0,41.0,555.0,5.41,24,14,38,22903.0,67.0,836.0,1.484,2.289,26,0.142,0.057,4,0
rand-05_s1,rand-05,1,random,50,50,39,11793.0,112.0,681.0,97.815,39,11793.0,112.0,681.0,5.764,39,24,63,38235.0,185.0,1050.0,1.49,2.867,41,0.079,0.036,4,0
rand-05_s2,rand-05,2,random,50,50,39,11683.0,118.0,565.0,85.941,39,11683.0,118.0,565.0,5.675,39,18,57,44072.0,176.0,896.0,2.337,4.384,44,0.097,0.053,4,0
rand-05_s3,rand-05,3,random,50,50,35,15612.0,110.0,502.0,122.024,35,15612.0,110.0,502.0,5.695,35,17,52,48906.0,149.0,757.0,1.456,2.805,39,0.111,0.037,4,0
rand-06_s1,rand-06,1,random,40,40,38,2707.0,173.0,534.0,40.827,38,2707.0,173.0,534.0,5.755,38,28,66,15140.0,278.0,862.0,0.706,1.323,33,0.053,0.022,3,0
rand-06_s2,rand-06,2,random,40,40,40,697.0,204.0,493.0,30.373,40,697.0,204.0,493.0,5.986,40,34,74,7375.0,359.0,1016.0,0.534,1.058,31,0.036,0.017,3,0
rand-06_s3,rand-06,3,random,40,40,40,622.0,144.0,478.0,29.452,40,622.0,144.0,478.0,5.662,40,33,73,8137.0,278.0,859.0,0.619,1.243,31,0.087,0.02,3,0
rand-07_s1,rand-07,1,random,50,50,49,2162.0,305.0,857.0,44.606,49,2161.0,304.0,857.0,6.222,49,28,77,24749.0,457.0,1292.0,1.204,2.407,40,0.078,0.03,4,0
rand-07_s2,rand-07,2,random,50,50,50,983.0,263.0,720.0,36.773,50,983.0,263.0,720.0,6.157,50,38,88,13824.0,461.0,1363.0,1.02,2.065,40,0.052,0.026,4,0
rand-07_s3,rand-07,3,random,50,50,49,2034.0,293.0,741.0,44.445,49,2034.0,293.0,741.0,5.814,49,34,83,18722.0,485.0,1237.0,1.501,3.15,38,0.09,0.04,4,0
rand-08_s1,rand-08,1,random,60,60,60,2124.0,276.0,1848.0,22.853,60,1924.0,180.0,1744.0,6.307,60,55,115,8616.0,404.0,3212.0,4.369,7.748,52,0.276,0.084,5,0
rand-08_s2,rand-08,2,random,60,60,60,1733.0,192.0,1541.0,24.819,60,1707.0,181.0,1526.0,7.428,60,53,113,10736.0,495.0,3241.0,4.274,8.569,48,0.191,0.089,5,0
rand-08_s3,rand-08,3,random,60,60,60,1794.0,212.0,1582.0,21.394,60,1742.0,215.0,1527.0,6.664,60,49,109,14468.0,456.0,3012.0,3.61,7.809,47,0.144,0.077,5,0
rand-09_s1,rand-09,1,random,30,30,27,3777.0,111.0,666.0,35.181,27,3777.0,111.0,666.0,5.527,27,22,49,12410.0,200.0,1210.0,0.61,1.171,28,0.047,0.022,4,0
rand-09_s2,rand-09,2,random,30,30,26,4723.0,81.0,642.0,46.231,26,4723.0,81.0,642.0,5.564,26,17,43,18187.0,134.0,1053.0,0.987,1.802,29,0.146,0.034,4,0
rand-09_s3,rand-09,3,random,30,30,26,4768.0,145.0,623.0,40.035,26,4768.0,145.0,623.0,5.443,26,18,44,17208.0,220.0,988.0,1.273,1.827,26,0.477,0.049,4,0
rand-10_s1,rand-10,1,random,50,50,48,3182.0,296.0,886.0,43.227,48,3182.0,296.0,886.0,5.878,48,30,78,23828.0,467.0,1361.0,1.453,2.973,41,0.069,0.036,4,0
rand-10_s2,rand-10,2,random,50,50,49,1999.0,271.0,728.0,37.701,49,1999.0,271.0,728.0,5.752,49,37,86,15820.0,452.0,1368.0,1.266,2.615,44,0.075,0.029,4,0
rand-10_s3,rand-10,3,random,50,50,48,2934.0,204.0,730.0,51.608,48,2934.0,204.0,730.0,5.866,48,37,85,16686.0,355.0,1331.0,1.477,3.065,39,0.104,0.038,4,0
