policy,instance_id,instance,seed,three_phase_pb_accepted,policy_pb_accepted,three_phase_rt_accepted,policy_rt_accepted,three_phase_total_accepted,policy_total_accepted,three_phase_objective,policy_objective,proactive_rejections,change_pb_accepted,change_rt_accepted,change_total_accepted,change_objective
buffer_20,leuven-05_s1,leuven-05,1,28,26,19,23,47,49,53682,51669,7,-2,4,2,-2013
buffer_20,leuven-05_s2,leuven-05,2,32,30,12,20,44,50,56710,50907,5,-2,8,6,-5803
buffer_20,leuven-05_s3,leuven-05,3,26,24,13,14,39,38,61657,62601,8,-2,1,-1,944
buffer_20,leuven-06_s1,leuven-06,1,23,21,22,26,45,47,55669,53647,1,-2,4,2,-2022
buffer_20,leuven-06_s2,leuven-06,2,24,22,21,19,45,41,55751,59653,7,-2,-2,-4,3902
buffer_20,leuven-06_s3,leuven-06,3,26,25,29,28,55,53,45915,47877,1,-1,-1,-2,1962
buffer_20,leuven-07_s1,leuven-07,1,44,43,8,8,52,51,48823,49723,7,-1,0,-1,900
buffer_20,leuven-07_s2,leuven-07,2,48,50,13,15,61,65,40031,36077,6,2,2,4,-3954
buffer_20,leuven-07_s3,leuven-07,3,46,44,10,9,56,53,45038,47872,9,-2,-1,-3,2834
buffer_20,leuven-08_s1,leuven-08,1,60,58,36,39,96,97,105578,104580,7,-2,3,1,-998
buffer_20,leuven-08_s2,leuven-08,2,57,59,40,43,97,102,104580,99629,9,2,3,5,-4951
buffer_20,leuven-08_s3,leuven-08,3,62,58,29,32,91,90,110394,111317,4,-4,3,-1,923
buffer_20,leuven-09_s1,leuven-09,1,37,35,15,17,52,52,48845,48849,5,-2,2,0,4
buffer_20,leuven-09_s2,leuven-09,2,36,33,19,15,55,48,46009,52795,12,-3,-4,-7,6786
buffer_20,leuven-09_s3,leuven-09,3,34,31,20,14,54,45,47047,55701,5,-3,-6,-9,8654
buffer_20,leuven-10_s1,leuven-10,1,36,33,14,17,50,50,50772,50784,5,-3,3,0,12
buffer_20,leuven-10_s2,leuven-10,2,38,33,23,26,61,59,40116,42058,11,-5,3,-2,1942
buffer_20,leuven-10_s3,leuven-10,3,39,35,16,15,55,50,45882,50795,10,-4,-1,-5,4913
buffer_20,rand-01_s1,rand-01,1,27,26,23,17,50,43,30723,37604,4,-1,-6,-7,6881
buffer_20,rand-01_s2,rand-01,2,28,27,22,21,50,48,30827,32751,5,-1,-1,-2,1924
buffer_20,rand-01_s3,rand-01,3,36,35,23,23,59,58,21771,22757,1,-1,0,-1,986
buffer_20,rand-02_s1,rand-02,1,42,34,23,24,65,58,36275,43132,6,-8,1,-7,6857
